datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/5/2019 1:00:00 PM,1/5/2019 8:00:00 AM,1,PJM-RTO,,,ZONE,,23.660000,23.675083,0.000000,0.011750,True,1
1/5/2019 2:00:00 PM,1/5/2019 9:00:00 AM,1,PJM-RTO,,,ZONE,,23.650000,23.664583,0.000000,0.012083,True,1
1/5/2019 3:00:00 PM,1/5/2019 10:00:00 AM,1,PJM-RTO,,,ZONE,,24.170000,24.176855,0.000000,0.011855,True,1
1/5/2019 4:00:00 PM,1/5/2019 11:00:00 AM,1,PJM-RTO,,,ZONE,,23.520000,23.528656,0.000000,0.009490,True,1
1/5/2019 5:00:00 PM,1/5/2019 12:00:00 PM,1,PJM-RTO,,,ZONE,,21.990000,22.001442,0.000000,0.010608,True,1
1/5/2019 6:00:00 PM,1/5/2019 1:00:00 PM,1,PJM-RTO,,,ZONE,,20.750000,20.756231,0.000000,0.010397,True,1
1/5/2019 7:00:00 PM,1/5/2019 2:00:00 PM,1,PJM-RTO,,,ZONE,,19.270000,19.284415,0.000000,0.010249,True,1
1/5/2019 8:00:00 PM,1/5/2019 3:00:00 PM,1,PJM-RTO,,,ZONE,,19.170000,19.181994,0.000000,0.009494,True,1
1/5/2019 9:00:00 PM,1/5/2019 4:00:00 PM,1,PJM-RTO,,,ZONE,,19.980000,19.987796,0.000000,0.011129,True,1
1/5/2019 10:00:00 PM,1/5/2019 5:00:00 PM,1,PJM-RTO,,,ZONE,,31.390000,31.400986,0.000000,0.015152,True,1
1/5/2019 11:00:00 PM,1/5/2019 6:00:00 PM,1,PJM-RTO,,,ZONE,,22.270000,22.279636,0.000000,0.010469,True,1
1/6/2019 12:00:00 AM,1/5/2019 7:00:00 PM,1,PJM-RTO,,,ZONE,,20.780000,20.786325,0.000000,0.009658,True,1
1/6/2019 1:00:00 AM,1/5/2019 8:00:00 PM,1,PJM-RTO,,,ZONE,,20.220000,20.229284,0.000000,0.009284,True,1
1/6/2019 2:00:00 AM,1/5/2019 9:00:00 PM,1,PJM-RTO,,,ZONE,,20.520000,20.528393,0.000000,0.010893,True,1
1/6/2019 3:00:00 AM,1/5/2019 10:00:00 PM,1,PJM-RTO,,,ZONE,,22.150000,22.157573,0.000000,0.011740,True,1
1/6/2019 4:00:00 AM,1/5/2019 11:00:00 PM,1,PJM-RTO,,,ZONE,,18.780000,18.786530,0.000000,0.008197,True,1
1/6/2019 5:00:00 AM,1/6/2019 12:00:00 AM,1,PJM-RTO,,,ZONE,,19.120000,19.126086,0.000000,0.008586,True,1
1/6/2019 6:00:00 AM,1/6/2019 1:00:00 AM,1,PJM-RTO,,,ZONE,,19.240000,19.251406,0.000000,0.008073,True,1
1/6/2019 7:00:00 AM,1/6/2019 2:00:00 AM,1,PJM-RTO,,,ZONE,,19.380000,19.384162,0.000000,0.009162,True,1
1/6/2019 8:00:00 AM,1/6/2019 3:00:00 AM,1,PJM-RTO,,,ZONE,,19.150000,19.165305,0.000000,0.011139,True,1
1/6/2019 9:00:00 AM,1/6/2019 4:00:00 AM,1,PJM-RTO,,,ZONE,,19.370000,19.375894,0.000000,0.008394,True,1
1/6/2019 10:00:00 AM,1/6/2019 5:00:00 AM,1,PJM-RTO,,,ZONE,,18.940000,18.952123,0.000000,0.009623,True,1
1/6/2019 11:00:00 AM,1/6/2019 6:00:00 AM,1,PJM-RTO,,,ZONE,,19.550000,19.555240,0.000000,0.010240,True,1
